brand,age,fueltype,type,price
Toyota,4,other,sedan,23500
Toyota,4,gas,sedan,18990
Honda,6,gas,sedan,20990
Toyota,19,gas,sedan,999
Ford,5,other,sedan,13988
Chevrolet,15,gas,sedan,3333
Ford,11,gas,SUV,7000
Toyota,7,gas,SUV,25901
Toyota,10,gas,SUV,15999
Chevrolet,8,other,pickup,40590
Chevrolet,4,other,sedan,281
Honda,11,gas,sedan,6495
Ford,9,gas,sedan,7995
Toyota,9,other,pickup,21990
Honda,9,gas,sedan,10590
Ford,3,gas,pickup,41990
Chevrolet,3,gas,SUV,17848
Toyota,5,other,sedan,20590
Chevrolet,8,gas,pickup,28750
Chevrolet,10,gas,sedan,5950
Chevrolet,23,gas,SUV,4799
Nissan,9,gas,sedan,10990
Honda,18,gas,sedan,2850
Ford,7,gas,SUV,12900
Ford,11,gas,sedan,7990
Chevrolet,8,gas,sedan,8900
Chevrolet,17,gas,SUV,11500
Chevrolet,9,gas,SUV,7400
Chevrolet,22,gas,pickup,1500
Toyota,11,gas,sedan,8999
Toyota,4,gas,sedan,20590
Toyota,7,diesel,pickup,37590
Ford,11,diesel,pickup,38999
Ford,11,gas,pickup,20998
Chevrolet,17,gas,SUV,5197
Honda,20,gas,sedan,3500
Chevrolet,5,gas,pickup,27990
Nissan,12,gas,SUV,9398
Ford,85,gas,sedan,29000
Honda,18,gas,sedan,3000
Nissan,19,gas,sedan,4995
Nissan,14,gas,SUV,6800
Nissan,12,gas,sedan,7000
Honda,5,gas,sedan,13995
Toyota,5,gas,SUV,26964
Toyota,12,gas,SUV,3500
Ford,3,diesel,pickup,65995
Ford,4,diesel,pickup,58900
Chevrolet,9,gas,SUV,9450
Ford,11,diesel,pickup,21999
Ford,14,gas,sedan,7999
Chevrolet,20,gas,SUV,5300
Chevrolet,17,gas,sedan,995
Nissan,12,gas,pickup,10300
Chevrolet,19,gas,sedan,4395
Nissan,16,gas,sedan,5498
Ford,19,gas,pickup,21990
Honda,12,gas,sedan,6500
Toyota,5,gas,SUV,37000
Toyota,11,gas,pickup,8200
Toyota,7,gas,sedan,14995
Ford,24,gas,pickup,11988
Toyota,12,gas,SUV,12995
Nissan,5,gas,sedan,14995
Toyota,10,gas,sedan,5000
Toyota,11,other,sedan,10995
